,date,time,Object id,Class_type,Class-likelihood,X,Y
89,27-04-2023,120934,10220,Person,0.1599999964237213,486,74
90,27-04-2023,120934,2,Person,0.9599999785423279,251,388
91,27-04-2023,120934,9924,Person,0.6499999761581421,121,382
92,27-04-2023,120934,10185,Person,0.7699999809265137,712,286
93,27-04-2023,120934,10199,Person,0.27000001072883606,227,441
94,27-04-2023,120934,10202,Person,0.9399999976158142,508,81
95,27-04-2023,120934,10216,Person,0.3100000023841858,697,214
96,27-04-2023,120934,10217,Person,0.8899999856948853,366,63
97,27-04-2023,120934,10218,Person,0.3499999940395355,482,43
98,27-04-2023,120934,10219,Person,0.23000000417232513,395,50
99,27-04-2023,120934,10220,Person,0.1599999964237213,486,74
100,27-04-2023,120935,2,Person,0.9599999785423279,251,388
101,27-04-2023,120935,9924,Person,0.5600000023841858,121,381
102,27-04-2023,120935,10185,Person,0.6700000166893005,708,286
103,27-04-2023,120935,10199,Person,0.3199999928474426,227,441
104,27-04-2023,120935,10202,Person,0.9399999976158142,508,81
105,27-04-2023,120935,10216,Person,0.3100000023841858,697,214
106,27-04-2023,120935,10217,Person,0.9300000071525574,351,66
107,27-04-2023,120935,10218,Person,0.3499999940395355,482,43
108,27-04-2023,120935,10219,Person,0.23000000417232513,395,50
109,27-04-2023,120935,10220,Person,0.1599999964237213,486,74
110,27-04-2023,120935,2,Person,0.9599999785423279,252,387
111,27-04-2023,120935,9924,Person,0.7099999785423279,121,382
112,27-04-2023,120935,10185,Person,0.6200000047683716,704,285
113,27-04-2023,120935,10199,Person,0.3199999928474426,227,442
114,27-04-2023,120935,10216,Person,0.3100000023841858,697,214
115,27-04-2023,120935,10217,Person,0.949999988079071,335,68
116,27-04-2023,120935,10221,Person,0.2199999988079071,598,397
117,27-04-2023,120936,2,Person,0.9599999785423279,251,387
118,27-04-2023,120936,9924,Person,0.6499999761581421,121,382
119,27-04-2023,120936,10185,Person,0.6000000238418579,701,285
120,27-04-2023,120936,10199,Person,0.2199999988079071,227,442
121,27-04-2023,120936,10217,Person,0.9700000286102295,315,70
122,27-04-2023,120936,10221,Person,0.2800000011920929,596,397
123,27-04-2023,120936,10222,Person,0.1599999964237213,300,68
124,27-04-2023,120936,2,Person,0.9599999785423279,251,387
125,27-04-2023,120936,9924,Person,0.699999988079071,121,382
126,27-04-2023,120936,10185,Person,0.47999998927116394,699,285
127,27-04-2023,120936,10199,Person,0.3499999940395355,227,442
128,27-04-2023,120936,10217,Person,0.9900000095367432,295,73
129,27-04-2023,120936,10221,Person,0.25,597,399
130,27-04-2023,120936,10222,Person,0.1599999964237213,300,68
131,27-04-2023,120936,10223,Person,0.3199999928474426,519,16
132,27-04-2023,120936,10224,Person,0.23999999463558197,690,244
133,27-04-2023,120936,10225,Person,0.23000000417232513,155,62
134,27-04-2023,120936,2,Person,0.9599999785423279,251,387
135,27-04-2023,120936,9924,Person,0.6499999761581421,121,382
136,27-04-2023,120936,10185,Person,0.5899999737739563,699,284
137,27-04-2023,120936,10199,Person,0.25999999046325684,227,442
138,27-04-2023,120936,10217,Person,0.9700000286102295,277,75
139,27-04-2023,120936,10221,Person,0.3199999928474426,597,400
140,27-04-2023,120936,10222,Person,0.1599999964237213,300,68
141,27-04-2023,120936,10223,Person,0.44999998807907104,519,20
142,27-04-2023,120936,10224,Person,0.23999999463558197,690,244
143,27-04-2023,120936,10225,Person,0.23000000417232513,155,62
144,27-04-2023,120937,2,Person,0.9599999785423279,251,387
145,27-04-2023,120937,9924,Person,0.6899999976158142,121,382
146,27-04-2023,120937,10185,Person,0.4000000059604645,697,282
147,27-04-2023,120937,10199,Person,0.3400000035762787,227,442
148,27-04-2023,120937,10217,Person,0.949999988079071,252,79
149,27-04-2023,120937,10221,Person,0.25,598,400
150,27-04-2023,120937,10223,Person,0.44999998807907104,519,20
151,27-04-2023,120937,10224,Person,0.17000000178813934,673,236
152,27-04-2023,120937,10225,Person,0.17000000178813934,155,62
153,27-04-2023,120937,10226,Person,0.2199999988079071,658,258
154,27-04-2023,120937,2,Person,0.9599999785423279,251,388
155,27-04-2023,120937,9924,Person,0.6499999761581421,120,382
156,27-04-2023,120937,10185,Person,0.3100000023841858,698,283
157,27-04-2023,120937,10199,Person,0.33000001311302185,227,442
158,27-04-2023,120937,10217,Person,0.9700000286102295,229,81
159,27-04-2023,120937,10221,Person,0.2800000011920929,598,399
160,27-04-2023,120937,10222,Person,0.6299999952316284,390,61
161,27-04-2023,120937,10223,Person,0.47999998927116394,507,60
162,27-04-2023,120937,10224,Person,0.17000000178813934,673,236
163,27-04-2023,120937,10225,Person,0.17000000178813934,155,62
164,27-04-2023,120937,10226,Person,0.5199999809265137,649,261
165,27-04-2023,120938,2,Person,0.949999988079071,251,388
166,27-04-2023,120938,9924,Person,0.6399999856948853,120,382
167,27-04-2023,120938,10185,Person,0.4399999976158142,698,283
168,27-04-2023,120938,10199,Person,0.28999999165534973,227,442
169,27-04-2023,120938,10217,Person,0.9599999785423279,207,85
170,27-04-2023,120938,10221,Person,0.20999999344348907,598,398
171,27-04-2023,120938,10222,Person,0.8799999952316284,409,59
172,27-04-2023,120938,10223,Person,0.9300000071525574,498,76
173,27-04-2023,120938,10224,Person,0.3499999940395355,659,241
174,27-04-2023,120938,10225,Person,0.17000000178813934,155,62
175,27-04-2023,120938,10226,Person,0.3700000047683716,647,262
176,27-04-2023,120938,10227,Person,0.5099999904632568,641,96
177,27-04-2023,120938,10228,Person,0.23000000417232513,514,23
178,27-04-2023,120938,10229,Person,0.15000000596046448,648,284
179,27-04-2023,120938,2,Person,0.9599999785423279,251,388
180,27-04-2023,120938,9924,Person,0.5099999904632568,120,383
181,27-04-2023,120938,10185,Person,0.25999999046325684,698,279
182,27-04-2023,120938,10199,Person,0.25999999046325684,227,442
183,27-04-2023,120938,10217,Person,0.8500000238418579,180,88
184,27-04-2023,120938,10221,Person,0.20000000298023224,598,397
185,27-04-2023,120938,10222,Person,0.9700000286102295,398,61
186,27-04-2023,120938,10223,Person,0.9300000071525574,488,82
187,27-04-2023,120938,10224,Person,0.3499999940395355,659,241
188,27-04-2023,120938,10225,Person,0.2800000011920929,155,66
189,27-04-2023,120938,10226,Person,0.8299999833106995,646,267
190,27-04-2023,120938,10227,Person,0.1599999964237213,651,96
191,27-04-2023,120938,10228,Person,0.23000000417232513,514,23
192,27-04-2023,120938,10229,Person,0.15000000596046448,648,284
193,27-04-2023,120939,2,Person,0.9599999785423279,251,388
194,27-04-2023,120939,9924,Person,0.5699999928474426,121,383
195,27-04-2023,120939,10185,Person,0.3799999952316284,699,281
196,27-04-2023,120939,10199,Person,0.3199999928474426,227,442
197,27-04-2023,120939,10217,Person,0.9599999785423279,159,90
198,27-04-2023,120939,10221,Person,0.18000000715255737,598,396
199,27-04-2023,120939,10222,Person,0.9900000095367432,378,62
200,27-04-2023,120939,10223,Person,0.9599999785423279,477,82
201,27-04-2023,120939,10224,Person,0.3499999940395355,659,241
202,27-04-2023,120939,10225,Person,0.2800000011920929,155,66
203,27-04-2023,120939,10226,Person,0.8299999833106995,646,267
204,27-04-2023,120939,10227,Person,0.800000011920929,659,96
205,27-04-2023,120939,10228,Person,0.17000000178813934,504,33
206,27-04-2023,120939,10229,Person,0.6800000071525574,653,283
207,27-04-2023,120939,2,Person,0.949999988079071,251,388
208,27-04-2023,120939,9924,Person,0.6000000238418579,122,382
209,27-04-2023,120939,10185,Person,0.3799999952316284,699,281
210,27-04-2023,120939,10199,Person,0.20000000298023224,229,441
211,27-04-2023,120939,10217,Person,0.9599999785423279,159,90
212,27-04-2023,120939,10221,Person,0.18000000715255737,598,396
213,27-04-2023,120939,10222,Person,0.8199999928474426,354,63
214,27-04-2023,120939,10223,Person,0.9399999976158142,465,81
215,27-04-2023,120939,10225,Person,0.2800000011920929,155,66
216,27-04-2023,120939,10226,Person,0.8299999833106995,646,267
217,27-04-2023,120939,10227,Person,0.1599999964237213,669,99
218,27-04-2023,120939,10228,Person,0.36000001430511475,497,37
219,27-04-2023,120939,10229,Person,0.38999998569488525,664,293
220,27-04-2023,120940,2,Person,0.949999988079071,251,388
221,27-04-2023,120940,9924,Person,0.6000000238418579,122,382
222,27-04-2023,120940,10185,Person,0.3799999952316284,699,281
223,27-04-2023,120940,10199,Person,0.25,228,441
224,27-04-2023,120940,10217,Person,0.9599999785423279,159,90
225,27-04-2023,120940,10221,Person,0.1599999964237213,599,396
226,27-04-2023,120940,10222,Person,0.9800000190734863,327,66
227,27-04-2023,120940,10223,Person,0.9100000262260437,446,79
228,27-04-2023,120940,10227,Person,0.1599999964237213,669,99
229,27-04-2023,120940,10228,Person,0.36000001430511475,497,37
230,27-04-2023,120940,10229,Person,0.5600000023841858,677,307
231,27-04-2023,120940,2,Person,0.949999988079071,251,388
232,27-04-2023,120940,9924,Person,0.6200000047683716,122,382
233,27-04-2023,120940,10199,Person,0.23000000417232513,228,442
234,27-04-2023,120940,10221,Person,0.17000000178813934,601,397
235,27-04-2023,120940,10222,Person,0.9800000190734863,304,68
236,27-04-2023,120940,10223,Person,0.9100000262260437,427,78
237,27-04-2023,120940,10227,Person,0.1599999964237213,669,99
238,27-04-2023,120940,10228,Person,0.36000001430511475,497,37
239,27-04-2023,120940,10229,Person,0.17000000178813934,688,314
240,28-04-2023,012502,2,Person,0.949999988079071,251,388
241,28-04-2023,012502,9924,Person,0.6200000047683716,122,382
242,28-04-2023,012502,10199,Person,0.27000001072883606,227,442
243,28-04-2023,012502,10221,Person,0.23000000417232513,602,397
244,28-04-2023,012502,10222,Person,0.6899999976158142,284,70
245,28-04-2023,012502,10223,Person,0.9900000095367432,408,76
246,28-04-2023,012502,10229,Person,0.17000000178813934,688,314
247,27-04-2023,120941,2,Person,0.9599999785423279,251,388
248,27-04-2023,120941,9924,Person,0.6200000047683716,122,382
249,27-04-2023,120941,10199,Person,0.17000000178813934,227,442
250,27-04-2023,120941,10221,Person,0.25,600,397
251,27-04-2023,120941,10222,Person,0.9700000286102295,262,74
252,27-04-2023,120941,10223,Person,0.8600000143051147,381,76
253,27-04-2023,120941,10229,Person,0.17000000178813934,688,314
254,27-04-2023,120942,2,Person,0.949999988079071,251,388
255,27-04-2023,120942,9924,Person,0.6399999856948853,121,382
256,27-04-2023,120942,10199,Person,0.15000000596046448,226,442
257,27-04-2023,120942,10221,Person,0.25,599,398
258,27-04-2023,120942,10222,Person,0.699999988079071,244,77
259,27-04-2023,120942,10223,Person,0.9700000286102295,357,75
260,27-04-2023,120942,10230,Person,0.5299999713897705,154,57
261,27-04-2023,120942,2,Person,0.9599999785423279,251,388
262,27-04-2023,120942,9924,Person,0.5799999833106995,121,382
263,27-04-2023,120942,10199,Person,0.15000000596046448,226,442
264,27-04-2023,120942,10221,Person,0.3100000023841858,597,398
265,27-04-2023,120942,10222,Person,0.9200000166893005,228,81
266,27-04-2023,120942,10223,Person,0.9399999976158142,334,76
267,27-04-2023,120942,10229,Person,0.2199999988079071,696,293
268,27-04-2023,120942,10230,Person,0.5299999713897705,154,57
269,27-04-2023,120942,10231,Person,0.23000000417232513,468,48
270,27-04-2023,120943,2,Person,0.9599999785423279,251,388
271,27-04-2023,120943,9924,Person,0.6100000143051147,121,382
272,27-04-2023,120943,10199,Person,0.15000000596046448,226,442
273,27-04-2023,120943,10221,Person,0.28999999165534973,596,398
274,27-04-2023,120943,10222,Person,0.8999999761581421,207,84
275,27-04-2023,120943,10223,Person,0.949999988079071,307,78
276,27-04-2023,120943,10229,Person,0.23000000417232513,698,281
277,27-04-2023,120943,10230,Person,0.5299999713897705,154,57
278,27-04-2023,120943,10231,Person,0.23000000417232513,468,48
279,27-04-2023,120943,2,Person,0.949999988079071,251,388
280,27-04-2023,120943,9924,Person,0.6200000047683716,121,382
281,27-04-2023,120943,10199,Person,0.1599999964237213,226,441
282,27-04-2023,120943,10221,Person,0.23999999463558197,596,397
283,27-04-2023,120943,10222,Person,0.8299999833106995,188,87
284,27-04-2023,120943,10223,Person,0.8899999856948853,282,78
285,27-04-2023,120943,10229,Person,0.23000000417232513,698,281
286,27-04-2023,120943,10230,Person,0.3499999940395355,155,62
287,27-04-2023,120943,10231,Person,0.23000000417232513,468,48
288,27-04-2023,120943,2,Person,0.949999988079071,252,388
289,27-04-2023,120943,9924,Person,0.6800000071525574,121,382
290,27-04-2023,120943,10199,Person,0.27000001072883606,227,442
